('Philosophy', 'Complexity', 'Cognitive Science', 'Education', 'Computer Science'),2
('Philosophy', 'Complexity', 'Biology', 'Education', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Arts'),2
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Biology'),1
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Linguistics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Physics', 'Arts', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Arts', 'Biology'),1
('Philosophy', 'Anthropology', 'Physics', 'Arts', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Arts', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Mathematics', 'Biology'),1
('Philosophy', 'Anthropology', 'Physics', 'Mathematics', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Mathematics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Physics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Anthropology', 'Physics', 'Cognitive Science', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Education', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Arts', 'Biology'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Arts', 'Education'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Arts', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics', 'Biology'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics', 'Education'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Biology'),1
